"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.4821388408684,1.01897535155701,2.35073227910116,1.03959725032937,1.07785710110638,1.99279571639077,2.17767785369853
"Cambodia","a_p_m",1.36602808400711,1.01084142024133,2.21290415290644,1.02455324516134,1.05084664198707,1.7839401522241,2.00455014088642
"Nepal","a_p_m",1.6612771194092,1.03789488716105,2.69582448709693,1.07414848007337,1.13688297172254,2.28136922881522,2.51260273473271
"Philippines","a_p_m",1.16795569896439,1.00745498543658,1.50437969874851,1.01278584951477,1.02483726052915,1.36114267545994,1.4333999050349
"Vietnam","a_p_m",1.60260414382819,1.02909161754984,2.68749726789186,1.05607426433329,1.10524539436116,2.22888176161433,2.47690295106125
"Prior","a_p_m",4.57331809267249,1.14364152759527,9.56650652445443,1.28940308385276,1.58584691136491,8.3804910195456,9.14613786176395
"Bangladesh","a_r_m",0.541204133200007,0.19976942344495,0.948766822077879,0.237078178043593,0.284590264787013,0.840647449409206,0.908873395644294
"Cambodia","a_r_m",0.280985780572185,0.0451869615560909,0.775414740893188,0.0601250227562388,0.0820686333106802,0.554917573656214,0.680439690063823
"Nepal","a_r_m",0.658030147448651,0.217464547433287,0.981498673545126,0.27547218775056,0.353441385366304,0.933767975237466,0.967272233795108
"Philippines","a_r_m",0.0594377016734115,0.00674329219729507,0.15761618037262,0.0106602258136934,0.0166407758701422,0.113578634748833,0.136023290808561
"Vietnam","a_r_m",0.512195448990372,0.0888476256511612,0.968421910357997,0.122996295253223,0.178801921095913,0.874615856189469,0.935994360958379
"Prior","a_r_m",0.486596456895249,0.0222995563128266,0.972475909323615,0.0456623944538521,0.0927743919311068,0.892372719364653,0.945575996077012
"Bangladesh","c_sp",0.411379839776895,0.269625719557984,0.496074285692631,0.290854286358515,0.318969707758148,0.484844419395256,0.492275674216249
"Cambodia","c_sp",0.35072602814991,0.1732503003657,0.490490083985136,0.196877727929688,0.227408097895462,0.467058179937703,0.48252212325632
"Nepal","c_sp",0.351150466473324,0.165659149212175,0.492582261001952,0.189123411360147,0.220630623747244,0.470347489128826,0.485229789871257
"Philippines","c_sp",0.343749712449749,0.159367249560357,0.49172155503553,0.184009719767487,0.213915512002095,0.470550825136977,0.486120231141378
"Vietnam","c_sp",0.301658528348865,0.128367080760717,0.48472693812849,0.148514608976352,0.172771938745146,0.444835775382328,0.470360059481939
"Prior","c_sp",0.250130689086184,0.0123414778411134,0.487560580343809,0.0250523886239981,0.0499108499097012,0.450284851427763,0.474941444171903
"Bangladesh","c_tx",0.0134864230735582,0.00682548070894714,0.0222285483170356,0.00764623630103429,0.00861093525195754,0.0189024096322726,0.0207231662052996
"Cambodia","c_tx",0.0282437265876687,0.0109814014400321,0.0548974830235249,0.0124632543002418,0.0144389776348785,0.0440956769547561,0.050087341841962
"Nepal","c_tx",0.0253578586804539,0.0108689778735803,0.0464387336865382,0.0124713981039065,0.0145087863313654,0.0377505880200414,0.0421064856405885
"Philippines","c_tx",0.0958843627739929,0.0452595162487399,0.163370116978762,0.0515928294368581,0.0588793871433569,0.138283196906177,0.149254122269697
"Vietnam","c_tx",0.022885282110549,0.0114910539823734,0.0385365199351913,0.0127451901043959,0.014421725111908,0.0321586358784068,0.0356374266803184
"Prior","c_tx",0.0624130757440615,0.00171878960548762,0.217380779677758,0.003446568108988,0.00693653730137122,0.153205672242656,0.191273271151048
"Bangladesh","c_tx_m",0.0987986200818778,0.0730918232065269,0.131723154192169,0.0767323404471314,0.0805134890665181,0.118545647335984,0.125840007159992
"Cambodia","c_tx_m",0.156240198772241,0.105868111524185,0.224695933327693,0.112552561333136,0.119901083654505,0.195646298767274,0.209739611272658
"Nepal","c_tx_m",0.122247346496909,0.0746723231053956,0.191391250678929,0.0802565551766434,0.0874367880919057,0.161436558267946,0.176837186568713
"Philippines","c_tx_m",0.127007220865485,0.0717568363186092,0.204217257352741,0.0786881713360719,0.0869159001972096,0.171574976314088,0.186906067066266
"Vietnam","c_tx_m",0.146443618874142,0.0903446358916488,0.227353054427433,0.0974753647487041,0.105728877231833,0.192594542697602,0.209766460039403
