"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.5416626814378,1.01105301369478,2.80215408367023,1.02896073083586,1.06391587375706,2.19581457646128,2.53078097980536
"Cambodia","a_p_m",1.8393958444619,1.03857475856275,3.93063153260686,1.06421901801249,1.11523133682803,2.84597248805653,3.45085553764792
"Nepal","a_p_m",2.42973595652159,1.05469212279545,5.4018440090951,1.10537015069568,1.21240214189702,4.06945865215826,4.70106725823664
"Philippines","a_p_m",1.42281764381221,1.01622286491119,2.27945120920347,1.02637209978172,1.05691615845539,1.88238123037037,2.08182929523295
"Vietnam","a_p_m",2.63729405669015,1.05551853377571,6.29076998672345,1.11498463458724,1.23811435266213,4.73463936253578,5.33313664521169
"Prior","a_p_m",4.57331809267249,1.14364152759527,9.56650652445443,1.28940308385276,1.58584691136491,8.3804910195456,9.14613786176395
"Bangladesh","a_p_s",1.9541185150487,1.09839368440144,3.22366131429586,1.1460371875517,1.27353593723506,2.69434119721886,2.93723672236193
"Cambodia","a_p_s",1.7690742859176,1.04119495684805,3.02983013759193,1.0837648710185,1.15430394998524,2.50656438619662,2.77641084659154
"Nepal","a_p_s",1.84187063027938,1.05700143844846,3.15921901663914,1.10687524196519,1.19231764813241,2.63066604322325,2.93809378013695
"Philippines","a_p_s",1.31967739039687,1.01611117165328,1.97638417722306,1.02996832206937,1.0522836673841,1.67165838999599,1.80894380962368
"Vietnam","a_p_s",1.83507685128561,1.0508779428953,3.17978008187695,1.09557330282297,1.18320099133396,2.61481203595088,2.90542823954441
"Prior","a_p_s",4.850941756907,1.17768157297101,9.61825327097696,1.35600294357993,1.71257646694166,8.55807248425285,9.24485953772034
"Bangladesh","a_r_m",0.433878679438787,0.0271131156907153,0.941476040486678,0.0480474242061815,0.0929344976227549,0.823381450501636,0.897714431895257
"Cambodia","a_r_m",0.40065465332309,0.0292805657211701,0.919331920007141,0.0528718930004803,0.0811682997106897,0.783540289012551,0.890069460930418
"Nepal","a_r_m",0.456417672767609,0.0165398003253878,0.953906298243784,0.0322720967819556,0.0841755755724466,0.855060019465502,0.917147444536999
"Philippines","a_r_m",0.358473293406619,0.0196950304726283,0.920232134418713,0.0392096999458575,0.0681069860581586,0.742808279713285,0.845643774405587
"Vietnam","a_r_m",0.42910246668587,0.0253663145122519,0.934558267757876,0.0463903651331837,0.0902890386765899,0.798647286735922,0.88613205168934
"Prior","a_r_m",0.486596456895249,0.0222995563128266,0.972475909323615,0.0456623944538521,0.0927743919311068,0.892372719364653,0.945575996077012
"Bangladesh","a_r_s",0.700022962248426,0.301646678750257,0.982565317850713,0.356770518615029,0.432460557275142,0.941487688092328,0.967399578304429
"Cambodia","a_r_s",0.485415156660829,0.0955167365936248,0.932140746093573,0.130109702180867,0.188178643317677,0.824296053490712,0.88359323468524
