"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.6681943000907,1.01663691538459,3.00377505923147,1.03908282292405,1.09037713085143,2.51393776053813,2.90869307589768
"Cambodia","a_p_m",1.85268029697956,1.02764417379306,3.79657061440291,1.04894858402459,1.11170533956298,2.89639285568756,3.46180691862326
"Nepal","a_p_m",2.53352041230325,1.05293433195693,5.65040520579263,1.11650129297035,1.22439513450778,4.18237489168281,4.94378688207063
"Philippines","a_p_m",2.20416871115355,1.05109652399401,5.09608928477599,1.09853857954653,1.18749425127524,3.60840762065008,4.27177589095161
"Vietnam","a_p_m",2.33046015114059,1.03925597227436,5.86415530495907,1.07890643742304,1.15314182613763,3.99729351839881,5.12258951395119
"Prior","a_p_m",4.57331809267249,1.14364152759527,9.56650652445443,1.28940308385276,1.58584691136491,8.3804910195456,9.14613786176395
"Bangladesh","a_p_s",1.86548890152842,1.06162460231095,2.98162414930509,1.11834154938308,1.2206722363504,2.63607091810235,2.84077548669363
"Cambodia","a_p_s",2.06107921027339,1.12272628472126,3.56376099089151,1.21128361450891,1.34033829769427,2.90225520139973,3.24240166764816
"Nepal","a_p_s",1.82959531415521,1.05035430836736,3.18783425825246,1.10168062510896,1.18203270538768,2.60090192695201,2.89412203562915
"Philippines","a_p_s",2.21043747129254,1.10813997112764,3.77673455158674,1.20251175052665,1.33729363516463,3.217068623115,3.4848556177116
"Vietnam","a_p_s",1.9536163315041,1.07137405205843,3.4215058739014,1.13656649241769,1.24026890958061,2.800882820587,3.11730397700609
"Prior","a_p_s",4.850941756907,1.17768157297101,9.61825327097696,1.35600294357993,1.71257646694166,8.55807248425285,9.24485953772034
"Bangladesh","a_r_m",0.396231970758807,0.0116563592794141,0.91917348340922,0.0295463285701609,0.0728846949913972,0.763036881652118,0.867001005761799
"Cambodia","a_r_m",0.437950384626039,0.0248353171906478,0.93932884358289,0.0489442427844638,0.0917400295911383,0.827267720525901,0.892386658845148
"Nepal","a_r_m",0.464699140974594,0.0267624557611768,0.960762018883647,0.0511904178071831,0.0933751768045223,0.860710935003,0.926697472425655
"Philippines","a_r_m",0.432762767969553,0.0252593574454548,0.941304060686272,0.0460935774965351,0.0832435640979209,0.811885903521914,0.895328963335473
"Vietnam","a_r_m",0.43563186646451,0.0249385892948108,0.955447428268209,0.0449117340367112,0.0897904731906705,0.833315967234561,0.914416109467342
"Prior","a_r_m",0.486596456895249,0.0222995563128266,0.972475909323615,0.0456623944538521,0.0927743919311068,0.892372719364653,0.945575996077012
"Bangladesh","a_r_s",0.691900478417162,0.314188867362473,0.981354352611714,0.358249703771938,0.414879414179489,0.941031290953647,0.96405589328281
"Cambodia","a_r_s",0.70274788904795,0.272191588034937,0.982471041164313,0.345218145176996,0.429011723626246,0.944206656937872,0.968031122834383
"Nepal","a_r_s",0.731664497363812,0.335357254251467,0.98604781583591,0.388644689091605,0.473707556598096,0.952112507925868,0.976197779728619
"Philippines","a_r_s",0.634818473580768,0.205943165999845,0.983357496254212,0.256563580669894,0.322398373851174,0.920161989137102,0.958289297379754
"Vietnam","a_r_s",0.711810347652681,0.314968740383178,0.987033308949519,0.376985906479294,0.432823332242829,0.94793485716533,0.973921702507981
"Prior","a_r_s",0.468365130591539,0.0212774910259897,0.969031920707552,0.0428100029671051,0.0853077929387691,0.879909726960472,0.938894545627294
"Bangladesh","c_sp",0.395306151174512,0.256432420227671,0.495842941398366,0.275561423487663,0.302061156279232,0.479378508834347,0.490788028471743
"Cambodia","c_sp",0.397916133440826,0.234544609044972,0.495804756226278,0.265413344102538,0.302015241356075,0.480914889492069,0.49122346943846
"Nepal","c_sp",0.349431941719526,0.176703837147457,0.490206796089189,0.197604031442887,0.225338855330439,0.465959129465942,0.481044346388059
"Philippines","c_sp",0.36091181396274,0.186568309432292,0.490312109693927,0.208936521163752,0.244090948154546,0.468688072159242,0.483418276832769
"Vietnam","c_sp",0.381636800213694,0.21427216794977,0.494369380090485,0.238523036141537,0.270582056938958,0.475692742905009,0.488000040252088
"Prior","c_sp",0.250130689086184,0.0123414778411134,0.487560580343809,0.0250523886239981,0.0499108499097012,0.450284851427763,0.474941444171903
"Bangladesh","c_tx",0.0135489879091717,0.00683770495203265,0.0225280272600822,0.00785025530135041,0.00847372043166589,0.0187227292949924,0.0207324403709562
"Cambodia","c_tx",0.0263380456025966,0.0109325032103416,0.0508216401163211,0.0125277762434527,0.0143327152528126,0.0407992802714344,0.0455971474968541
"Nepal","c_tx",0.02572777097177,0.0113412313317006,0.0451223682772554,0.01313537652903,0.0153215001566816,0.0374729082037555,0.0416617082077532
"Philippines","c_tx",0.0740421282778785,0.0362749737334431,0.121023188052596,0.041859431831325,0.0475638239802775,0.102402316763243,0.113770896863339
"Vietnam","c_tx",0.0237958665202896,0.0123222983063396,0.0387140034309801,0.0136783357075504,0.015491452668732,0.032896798375885,0.0360250443803471
"Prior","c_tx",0.0624130757440615,0.00171878960548762,0.217380779677758,0.003446568108988,0.00693653730137122,0.153205672242656,0.191273271151048
"Bangladesh","c_tx_m",0.0986864137892267,0.0735133079179497,0.132086910526514,0.0774323198056854,0.0815535386531803,0.117736575238564,0.125547317769648
"Cambodia","c_tx_m",0.142181941989002,0.0992270761471696,0.200110826372163,0.103910373936639,0.110625113667419,0.176953403485396,0.188565037653905
"Nepal","c_tx_m",0.118270913666286,0.0729141276818812,0.180946281960961,0.0790495136422909,0.0857129375102868,0.154153382848777,0.167570126671811
"Philippines","c_tx_m",0.0983015174477679,0.0594632832153489,0.152589844328277,0.0643371959873414,0.0706381856530088,0.128772405526716,0.140374241524913
"Vietnam","c_tx_m",0.130466190698433,0.0817054224673306,0.199907912524218,0.0876459623332309,0.0956552720571257,0.170525302034254,0.184887579632578
"Prior","c_tx_m",0.282711547954645,0.0107060908075514,0.741667737862419,0.0219862410924261,0.0441387791215393,0.584032789253537,0.675426565370842
"Bangladesh","m_tb",0.00400706831279196,0.00169865719505958,0.0084731022041613,0.0018421392064521,0.00210519022415013,0.00651572240757423,0.00745256199376611
"Cambodia","m_tb",0.00752395302364604,0.00242792736193933,0.0168382661465561,0.00262237989309724,0.00327872119781364,0.0128193496681834,0.0148783907620229
"Nepal","m_tb",0.00853030762086497,0.00271925862886774,0.0192567523456106,0.00314298549311541,0.00373873905903072,0.014749332850657,0.0170626123996807
"Philippines","m_tb",0.00515931256263634,0.00177990784335223,0.0115153297521472,0.00204296691410215,0.0023759550592287,0.00882711643660321,0.0103267026595946
"Vietnam","m_tb",0.0109591342298444,0.00335540892995543,0.0218053205123817,0.00410516284922732,0.00486749611672656,0.0180681827676028,0.0200485924780864
"Prior","m_tb",0.0352433212365415,0.00125034847507951,0.0931885210227949,0.00255238601665357,0.00513775553417139,0.0761213552789808,0.0869823447496063
"Bangladesh","m_tb_m",0.0284933139173725,0.0207728060067702,0.0384082199673108,0.0218164668294891,0.0231469130966604,0.0343876772322923,0.0365970392191443
"Cambodia","m_tb_m",0.0375605415164967,0.0253786566957234,0.0547173894857629,0.0269305553147036,0.0289576709371865,0.0470796944480016,0.0510154216485913
