"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.43036774467455,1.00981421509396,2.59744447994383,1.02279184013044,1.04555433757753,2.00476302060495,2.32040262583664
"Cambodia","a_p_m",1.71659822200015,1.02316023412741,3.40902303403773,1.04443208046267,1.09006602975823,2.61145507004154,3.03851831960811
"Nepal","a_p_m",1.62024331781715,1.01448361777311,3.34897679447265,1.03015212694923,1.06263379442263,2.44527250377953,2.88556515287108
"Philippines","a_p_m",1.45303240651685,1.00366963394929,2.41490713511035,1.01235149953839,1.05289633296977,2.02638371702216,2.22236445796956
"Vietnam","a_p_m",2.1389869561859,1.03610077271011,4.60092118721389,1.07075245026261,1.14177844025664,3.5469598798295,4.10728343323206
"Prior","a_p_m",4.57331809267249,1.14364152759527,9.56650652445443,1.28940308385276,1.58584691136491,8.3804910195456,9.14613786176395
"Bangladesh","a_p_s",1.9742843035437,1.09261304277805,3.23692770139085,1.16215752215179,1.29167099996598,2.75294620422072,2.99675848894265
"Cambodia","a_p_s",1.73436004119203,1.03549935267443,3.02173879192594,1.06777740813171,1.12767516405689,2.48657242438749,2.76848522874147
"Nepal","a_p_s",1.88904422447198,1.04575846110108,3.35905207918288,1.09263730279909,1.1821062759074,2.74199667685755,3.06445765341321
"Philippines","a_p_s",1.28955665623188,1.01044511693879,2.02853103291086,1.01555021062328,1.03067324467935,1.63551631835759,1.76853249612037
"Vietnam","a_p_s",1.854174156445,1.03490338320002,3.29661699677855,1.08190566893784,1.16597477076664,2.69930066674935,3.01949624675642
"Prior","a_p_s",4.850941756907,1.17768157297101,9.61825327097696,1.35600294357993,1.71257646694166,8.55807248425285,9.24485953772034
"Bangladesh","a_r_m",0.473703883475409,0.0307669166589641,0.97128645882199,0.054562221339316,0.107038351535974,0.874853299865729,0.943547327778719
"Cambodia","a_r_m",0.405474218435678,0.0227102278085029,0.926328266053767,0.0390352093387597,0.0786278790063197,0.777547469918832,0.872431071938637
"Nepal","a_r_m",0.481028463465563,0.0281565183052132,0.96764080302539,0.0572529477854314,0.105531801087267,0.874787770602905,0.937246749184632
"Philippines","a_r_m",0.318679728202891,0.0173153018147401,0.84929510840915,0.0266353073164294,0.0539484137485533,0.641621263198266,0.775659750832035
"Vietnam","a_r_m",0.424184701813355,0.0222588424530251,0.946558088254129,0.0447697843001207,0.0847435336818604,0.817630924725885,0.897851999910629
"Prior","a_r_m",0.486596456895249,0.0222995563128266,0.972475909323615,0.0456623944538521,0.0927743919311068,0.892372719364653,0.945575996077012
"Bangladesh","a_r_s",0.687784406552641,0.293977133875808,0.982703992007896,0.3404958366444,0.416576992256037,0.935944585212389,0.965114825179138
